log_id,timestamp,day,employee_id,resource_id,action,volume_mb
L00141,2026-08-01 10:12:00,1,E06,R5,view,42.85
L00055,2026-08-01 10:25:00,1,E03,R3,view,54.12
L00201,2026-08-01 10:33:00,1,E08,R6,export,111.21
L00027,2026-08-01 10:37:00,1,E02,R2,view,48.71
L00232,2026-08-01 12:12:00,1,E09,R7,view,38.8
L00001,2026-08-01 12:22:00,1,E01,R1,view,40.69
L00114,2026-08-01 13:46:00,1,E05,R5,download,37.48
L00262,2026-08-01 15:19:00,1,E10,R7,view,42.55
L00171,2026-08-01 16:20:00,1,E07,R6,view,48.24
L00082,2026-08-01 17:53:00,1,E04,R3,export,38.92
L00084,2026-08-02 01:53:00,2,E04,R4,view,37.61
L00172,2026-08-02 09:36:00,2,E07,R6,view,48.82
L00263,2026-08-02 10:42:00,2,E10,R8,download,35.81
L00057,2026-08-02 10:44:00,2,E03,R4,export,26.93
L00083,2026-08-02 10:48:00,2,E04,R3,view,29.34
L00264,2026-08-02 13:22:00,2,E10,R8,view,39.8
L00115,2026-08-02 14:41:00,2,E05,R5,download,60.01
L00056,2026-08-02 15:00:00,2,E03,R3,view,29.79
L00028,2026-08-02 16:15:00,2,E02,R2,export,92.36
L00202,2026-08-02 20:55:00,2,E08,R6,view,54.45
L00029,2026-08-03 11:35:00,3,E02,R2,view,44.48
L00233,2026-08-03 11:44:00,3,E09,R8,view,64.67
L00003,2026-08-03 12:27:00,3,E01,R2,download,35.27
L00058,2026-08-03 14:04:00,3,E03,R4,view,30.88
L00085,2026-08-03 14:07:00,3,E04,R8,view,33.67
L00116,2026-08-03 14:33:00,3,E05,R5,view,51.69
L00002,2026-08-03 14:52:00,3,E01,R2,view,51.42
L00173,2026-08-03 14:56:00,3,E07,R6,download,38.07
L00203,2026-08-03 15:16:00,3,E08,R6,view,30.52
L00117,2026-08-04 09:20:00,4,E05,R5,view,40.96
L00234,2026-08-04 09:21:00,4,E09,R8,download,29.05
L00059,2026-08-04 09:28:00,4,E03,R3,view,20.8
L00086,2026-08-04 10:27:00,4,E04,R4,view,46.72
L00204,2026-08-04 10:55:00,4,E08,R6,download,20.92
L00005,2026-08-04 14:20:00,4,E01,R2,view,28.47
L00142,2026-08-04 14:43:00,4,E06,R5,download,34.33
L00265,2026-08-04 15:28:00,4,E10,R8,export,46.72
L00174,2026-08-04 16:20:00,4,E07,R6,view,46.79
L00004,2026-08-04 16:50:00,4,E01,R1,view,29.87
L00030,2026-08-05 09:40:00,5,E02,R1,view,40.18
L00118,2026-08-05 10:10:00,5,E05,R5,view,32.67
L00143,2026-08-05 10:27:00,5,E06,R5,download,37.6
L00205,2026-08-05 11:28:00,5,E08,R6,view,8.05
L00175,2026-08-05 14:25:00,5,E07,R6,view,30.82
L00235,2026-08-05 15:09:00,5,E09,R7,view,63.82
L00266,2026-08-05 15:54:00,5,E10,R7,export,77.33
